Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [230/379] OK 8_15.mp4 -> 78 frame, 8 chuoi
  [231/379] OK 8_16.mp4 -> 64 frame, 5 chuoi
  [232/379] OK 8_17.mp4 -> 84 frame, 9 chuoi
  [233/379] OK 8_18.mp4 -> 49 frame, 2 chuoi
  [234/379] OK 8_19.mp4 -> 83 frame, 9 chuoi
  [235/379] OK 8_2.mp4 -> 66 frame, 6 chuoi
  [236/379] OK 8_3.mp4 -> 97 frame, 12 chuoi
  [237/379] OK 8_4.mp4 -> 79 frame, 8 chuoi
  [238/379] OK 8_5.mp4 -> 88 frame, 10 chuoi
  [239/379] OK 8_6.mp4 -> 55 frame, 4 chuoi
  [240/379] OK 8_7.mp4 -> 77 frame, 8 chuoi
  [241/379] OK 8_8.mp4 -> 65 frame, 6 chuoi
  [242/379] OK 8_9.mp4 -> 51 frame, 3 chuoi
  [243/379] OK 9_16.mp4 -> 177 frame, 28 chuoi
  [244/379] OK 9_17.mp4 -> 177 frame, 28 chuoi
  [245/379] OK 12_11.mp4 -> 152 frame, 23 chuoi
  [246/379] OK 12_3.mp4 -> 242 frame, 41 chuoi
  [247/379] OK 12_5.mp4 -> 190 frame, 31 chuoi
  [248/379] OK 12_7.mp4 -> 243 frame, 41 chuoi
  [249/379] OK 12_8.mp4 -> 215 frame, 36 chuoi
  [250/379] OK 12_9.mp4 -> 270 frame, 47 chuoi
  [251/379] OK 13_1.mp4 -> 426 frame, 78 chuoi
  [252/379] OK 13_10.mp4 -> 327 frame, 58 chuoi
  [253/379] OK 13_11.mp4 -> 403 frame, 73 chuoi
  [254/379] OK 13_2.mp4 -> 363 frame, 65 chuoi
  [255/379] OK 13_3.mp4 -> 448 frame, 82 chuoi
  [256/379] OK 13_4.mp4 -> 339 frame, 60 chuoi
  [257/379] OK 13_5.mp4 -> 559 frame, 104 chuoi
  [258/379] OK 13_6.mp4 -> 236 frame, 40 chuoi
  [259/379] OK 13_7.mp4 -> 399 frame, 72 chuoi
  [260/379] OK 13_8.mp4 -> 304 frame, 53 chuoi
  [261/379] OK 13_9.mp4 -> 404 frame, 73 chuoi
  [262/379] OK 14_1.mp4 -> 145 frame, 22 chuoi
  [263/379] OK 14_10.mp4 -> 148 frame, 22 chuoi
  [264/379] OK 14_11.mp4 -> 94 frame, 11 chuoi
  [265/379] OK 14_12.mp4 -> 69 frame, 6 chuoi
  [266/379] BO QUA 14_13.mp4 (chi co 39 frame co pose < 40)
  [267/379] OK 14_2.mp4 -> 97 frame, 12 chuoi
  [268/379] OK 14_3.mp4 -> 237 frame, 40 chuoi
  [269/379] OK 14_4.mp4 -> 109 frame, 14 chuoi
  [270/379] OK 14_5.mp4 -> 231 frame, 39 chuoi
  [271/379] OK 14_6.mp4 -> 108 frame, 14 chuoi
  [272/379] OK 14_7.mp4 -> 188 frame, 30 chuoi
  [273/379] OK 14_8.mp4 -> 124 frame, 17 chuoi
  [274/379] OK 14_9.mp4 -> 171 frame, 27 chuoi
  [275/379] OK 15_1.mp4 -> 170 frame, 27 chuoi
  [276/379] OK 15_10.mp4 -> 178 frame, 28 chuoi
  [277/379] OK 15_11.mp4 -> 151 frame, 23 chuoi
  [278/379] OK 15_12.mp4 -> 97 frame, 12 chuoi
